"db_einfuegemarke";"key_anredetitel";"ueberkey";"kurz_anredetitel_m";"kurz_anredetitel_w";"druck_anredetitelm";"druck_anredetitelw";"text_anredetitel_m";"text_anredetitel_w";"key_von";"key_bis";"brief_anredetitelm";"brief_anredetitelw";"obj_guid";"lock_version";"id";"k_language_id";"sortorder"
;"130 ";;Dipl.-Soz.;Dipl.-Soz.;Dipl.-Soz.Wissenschaftler;Dipl.-Soz.Wissenschaftler;Dipl.-Sozialwissenschaftler                                                                                                                                                                                                                                    ;Dipl.-Sozialwissenschaftler                                                                                                                                                                                                                                    ;;;;;"0";0;25;;
;"132 ";;Dr. Verf.-;Dr. Verf.-;Dr. Verf.-Ing.           ;Dr. Verf.-Ing.           ;Dr. Verf.-Ing.                                                                                                                                                                                                                                                 ;Dr. Verf.-Ing.                                                                                                                                                                                                                                                 ;;;;;"0";0;26;;
;"030 ";;Dipl.-Kauf;Dipl.-Kauf;Dipl.-Kauffrau (FH)      ;Dipl.-Kauffrau (FH)      ;Dipl.-Kauffrau (FH)                                                                                                                                                                                                                                            ;Dipl.-Kauffrau (FH)                                                                                                                                                                                                                                            ;;;;;"0";0;27;;
;"134 ";;Dipl.-Sozi;Dipl.-Sozi;Dipl.-Sozialpädagoge     ;Dipl.-Sozialpädagogin    ;Dipl.-Sozialpädagoge                                                                                                                                                                                                                                           ;Dipl.-Sozialpädagogin                                                                                                                                                                                                                                          ;;;;;"0";0;28;;
;"065 ";;Dr. rer. n;Dr. rer. n;Dr. rer. nat. (GB)       ;Dr. rer. nat. (GB)       ;Dr. rer. nat. (GB)                                                                                                                                                                                                                                             ;Dr. rer. nat. (GB)                                                                                                                                                                                                                                             ;;;;;"0";0;29;;
;"136 ";;Dozent    ;Dozentin  ;Dozent                   ;Dozentin                 ;Dozent                                                                                                                                                                                                                                                         ;Dozentin                                                                                                                                                                                                                                                       ;;;;;"0";0;30;;
;"138 ";;Rechtsanwa;Rechtsanwä;Rechtsanwalt             ;Rechtsanwältin           ;Rechtsanwalt                                                                                                                                                                                                                                                   ;Rechtsanwältin                                                                                                                                                                                                                                                 ;;;;;"0";0;31;;
;"140 ";;Lektor    ;Lektorin  ;Lektor                   ;Lektorin                 ;Lektor                                                                                                                                                                                                                                                         ;Lektorin                                                                                                                                                                                                                                                       ;;;;;"0";0;32;;
;"141 ";;Studienrat;Studienrät;Studienrat               ;Studienrätin             ;Studienrat                                                                                                                                                                                                                                                     ;Studienrätin                                                                                                                                                                                                                                                   ;;;;;"0";0;33;;
;"142 ";;OStR, Dipl;OStR, Dipl;OStR, Dipl.-Kfm.         ;OStR, Dipl.-Kfm.         ;OStR, Dipl.-Kfm.                                                                                                                                                                                                                                               ;OStR, Dipl.-Kfm.                                                                                                                                                                                                                                               ;;;;;"0";0;34;;
