"db_einfuegemarke";"key_anredetitel";"ueberkey";"kurz_anredetitel_m";"kurz_anredetitel_w";"druck_anredetitelm";"druck_anredetitelw";"text_anredetitel_m";"text_anredetitel_w";"key_von";"key_bis";"brief_anredetitelm";"brief_anredetitelw";"obj_guid";"lock_version";"id";"k_language_id";"sortorder"
;"237 ";;PD Dr. rer;;PD Dr. rer. nat.         ;;Privat Dr. rer. nat.                                                                                                                                                                                                                                           ;;;;;;"0";0;237;;
;"0713";;Prof.Dr.-I;Prof.Dr.-I;Prof.Dr.-Ing.med.habil.  ;Prof.Dr.-Ing.med.habil.  ;Professor Dr.-Ing. med. habil.                                                                                                                                                                                                                                 ;Professorin Dr.-Ing. med. habil.                                                                                                                                                                                                                               ;;;;;"0";0;238;;
;"0681";;Dr. rer. m;Dr. rer. m;Dr. rer. medic.          ;Dr. rer. medic.          ;Dr. rer. medic.                                                                                                                                                                                                                                                ;Dr. rer. medic.                                                                                                                                                                                                                                                ;;;;;"0";0;239;;
;"0311";;Dipl.-Ing.;Dipl.-Ing.;Dipl.-Ing. oec.          ;Dipl.-Ing. oec.          ;Dipl.-Ing. oec.                                                                                                                                                                                                                                                ;Dipl.-Ing. oec.                                                                                                                                                                                                                                                ;;;;;"0";0;240;;
;"0621";;DBA       ;;DBA                      ;DBA                      ;Doctor of Business Administration                                                                                                                                                                                                                              ;Doctor of Business Administration                                                                                                                                                                                                                              ;;;;;"0";0;241;;
;"0191";;Dipl.-Phys;Dipl.-Phys;Dipl.-Phys. Dr. rer. nat.;Dipl.-Phys. Dr. rer. nat.;Dipl.-phys. Dr. rer. nat.                                                                                                                                                                                                                                      ;Dipl.-phys. Dr. rer. nat.                                                                                                                                                                                                                                      ;;;;;"0";0;242;;
;"1071";;Dipl. rer.;Dipl. rer.;Dipl. rer.pol.techn.     ;Dipl. rer.pol.techn.     ;Dipl. rer.pol.techn.                                                                                                                                                                                                                                           ;Dipl. rer.pol.techn.                                                                                                                                                                                                                                           ;;;;;"0";0;243;;
;"048 ";;Dipl.-Jur.;Dipl.-Jur.;Diplom-Jurist            ;Diplom-Juristin          ;Diplom-Jurist                                                                                                                                                                                                                                                  ;Diplom-Juristin                                                                                                                                                                                                                                                ;;;;;"0";0;244;;
;"050 ";;Dipl.WirtA;Dipl.WirtA;Dipl.-Wirtschaftsanglist ;Dipl.-Wirtsch.anglistin  ;Diplom-Wirtschaftsanglist                                                                                                                                                                                                                                      ;Diplom-Wirtschaftsanglistin                                                                                                                                                                                                                                    ;;;;;"0";0;245;;
;"1461";;Dipl.-    ;Dipl.-    ;Dipl.-Chemiker           ;Dipl.-Chemikerin         ;Dipl.-Chemiker                                                                                                                                                                                                                                                 ;Dipl.-Chemikerin                                                                                                                                                                                                                                               ;;;;;"0";0;246;;
;"1223";;Prof.Dr.te;Prof.Dr.te;Prof. Dr. techn.         ;Prof. Dr. techn.         ;Prof. Dr. techn.                                                                                                                                                                                                                                               ;Prof. Dr. techn.                                                                                                                                                                                                                                               ;;;;;"0";0;247;;
;"2131";;Dr. sc.   ;;Dr. sc.                  ;;Dr. der Naturwissenschaften                                                                                                                                                                                                                                    ;;;;;;"0";0;248;;
;"1701";;Dr. Inf.  ;Dr.Inf.   ;Dr. Informatiker         ;Dr. Informatikerin       ;Dr. Informatiker                                                                                                                                                                                                                                               ;Dr. Informatikerin                                                                                                                                                                                                                                             ;;;;;"0";0;249;;
;"0411";;Magister  ;Magister  ;Magister-Ingenieur       ;Magister-Ingenieur       ;Magister-Ingenieur                                                                                                                                                                                                                                             ;Magister-Ingenieurin                                                                                                                                                                                                                                           ;;;;;"0";0;250;;
;"1252";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. oec.           ;Prof. Dr. oec.           ;Professor Dr. oec.                                                                                                                                                                                                                                             ;Professorin Dr. oec.                                                                                                                                                                                                                                           ;;;;;"0";0;251;;
;"0211";;Dipl.-Volk;Dipl.-Volk;Dipl.-Volkswirt, Univ.   ;Dipl.-Volkswirtin, Univ. ;Dipl.-Volkswirt, Univ.                                                                                                                                                                                                                                         ;Dipl.-Volkswirtin, Univ.                                                                                                                                                                                                                                       ;;;;;"0";0;252;;
;"0001";;;;Dr. oec. troph.          ;Dr. oec. troph.          ;Dr. oec. troph.                                                                                                                                                                                                                                                ;Dr. oec. troph.                                                                                                                                                                                                                                                ;;;;;"0";0;253;;
;"238 ";;Ph.D. HSG ;;Ph.D. HSG                ;Ph.D. HSG                ;Doctor of Philosopjy in Organizational Studies and Cultural Theory                                                                                                                                                                                             ;Doctor of Philosopjy in Organizational Studies and Cultural Theory                                                                                                                                                                                             ;;;;;"0";0;254;;
;"1301";;;;Dipl.-Soziologe          ;Dipl.-Soziologin         ;Dipl.-Soziologe                                                                                                                                                                                                                                                ;Dipl.-Soziologe                                                                                                                                                                                                                                                ;;;;;"0";0;255;;
;"1302";;;;Dipl.-Soziologe Univ.    ;Dipl.-Soziologin Univ.   ;Dipl.-Soziologe Univ.                                                                                                                                                                                                                                          ;Dipl.-Soziologe Univ.                                                                                                                                                                                                                                          ;;;;;"0";0;256;;
;"0051";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. oec.           ;Prof. Dr. oec.           ;Professor Dr. oec                                                                                                                                                                                                                                              ;Professorin Dr. oec.                                                                                                                                                                                                                                           ;;;;;"0";0;257;;
;"0151";;Dr.sc.pol.;;Dr. sc. pol              ;;Doctor scientiarum politicarum                                                                                                                                                                                                                                 ;;;;;;"0";0;258;;
;"1711";;PD Dr.habi;PD Dr.habi;PD Dr. habil.            ;PD Dr. habil.            ;PD Dr. habil.                                                                                                                                                                                                                                                  ;PD Dr. habil.                                                                                                                                                                                                                                                  ;;;;;"0";0;259;;
;"1841";;Dr. Dr.   ;Dr. Dr.   ;Prof. Dr. Dr.            ;Prof. Dr. Dr.            ;Prof. Dr. Dr.                                                                                                                                                                                                                                                  ;Prof. Dr. Dr.                                                                                                                                                                                                                                                  ;;;;;"0";0;260;;
;"1712";;Dr.-Ing   ;Dr.-Ing   ;Dr.-Ing. habil.          ;Dr.-Ing. habil.          ;Dr.-Ing. habil.                                                                                                                                                                                                                                                ;Dr.-Ing. habil.                                                                                                                                                                                                                                                ;;;;;"0";0;261;;
;"2291";;Prof. (FH);;Prof. (FH) Dr.           ;n                        ;Prof. (FH) Dr.                                                                                                                                                                                                                                                 ;;;;;;"0";0;262;;
;"2301";;Dr. rer. H;;Dr. rer. soc. HSG        ;Dr. rer. soc. HSG        ;Dr. der Sozialwissenschaften                                                                                                                                                                                                                                   ;;;;;;"0";0;263;;
;"0023";;Dr. rer. o;Dr. rer. o;Dr. rer. oec. habil.     ;Dr. rer. oec. habil.     ;Dr. rer. oec.. habil.                                                                                                                                                                                                                                          ;Dr. rer. oec.. habil.                                                                                                                                                                                                                                          ;;;Dr. rer. oec.. habil.    ;Dr. rer. oec. habil.     ;"0";0;264;;
;"1303";;Dr. phil. ;Dr. phil. ;PD Dr. phil. habil.      ;PD Dr. phil. habil.      ;PD Dr. phil. habil.                                                                                                                                                                                                                                            ;PD Dr. phil. habil.                                                                                                                                                                                                                                            ;;;;;"0";0;265;;
;"1003";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. phil.          ;Prof. Dr. phil.          ;Professor Dr. phil.                                                                                                                                                                                                                                            ;Professorin Dr. phil.                                                                                                                                                                                                                                          ;;;;;"0";0;266;;
;"1713";;Dr.-Ing   ;Dr.-Ing   ;PD Dr.-Ing.              ;PD Dr.-Ing.              ;PD Dr.-Ing.                                                                                                                                                                                                                                                    ;PD Dr.-Ing.                                                                                                                                                                                                                                                    ;;;;;"0";0;267;;
;"2132";;Dr. sc.   ;;Dr. sc. ETH              ;;Dr. der Wissenschaften                                                                                                                                                                                                                                         ;;;;;;"0";0;268;;
;"1752";;Ingenieur ;Ingenieur ;Ingenieur                ;Ingenieur                ;Ingenieur                                                                                                                                                                                                                                                      ;Ingenieur                                                                                                                                                                                                                                                      ;;;;;"0";0;269;;
;"1714";;Dr.       ;Dr.       ;Dr. habil.               ;Dr. habil.               ;Dr. habil.                                                                                                                                                                                                                                                     ;Dr. habil.                                                                                                                                                                                                                                                     ;;;;;"0";0;270;;
;"1004";;Dr.       ;Dr.       ;Dr. phil. nat.           ;Dr. phil. nat.           ;Dr. phil. nat.                                                                                                                                                                                                                                                 ;Dr. phil. nat.                                                                                                                                                                                                                                                 ;;;;;"0";0;271;;
;"2302";;;;Prof. Dr. rer. soc. HSG  ;Prof. Dr. rer. soc. HSG  ;Professor Dr. der Sozialwissenschaften                                                                                                                                                                                                                         ;;;;;;"0";0;272;;
;"1031";;;;Prof. Dr.-Ing. Dr. h. c. ;Prof. Dr.-Ing. Dr. h. c. ;Professor Dr.-Ing. Dr. h. c.                                                                                                                                                                                                                                   ;Professorin Dr.-Ing. Dr. h. c.                                                                                                                                                                                                                                 ;;;;;"0";0;273;;
;"1012";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. rer. biol. hum.;Prof. Dr. rer. biol. hum.;Prof. Dr. rer. biol. hum.                                                                                                                                                                                                                                      ;Prof. Dr. rer. biol. hum.                                                                                                                                                                                                                                      ;;;Prof. Dr. rer. biol. hum.;Prof. Dr. rer. biol. hum.;"0";0;274;;
;"1032";;Prof. Dr.-;Prof. Dr.-;Prof. Dr. Dipl.-Ing. (FH);Prof. Dr. Dipl.-Ing. (FH);Professor Dr. Dipl.-Ing. (FH)                                                                                                                                                                                                                                  ;Professorin Dr. Dipl.-Ing. (FH)                                                                                                                                                                                                                                ;;;;;"0";0;275;;
;"0113";;Dr. b     ;Dr. b     ;Dr. biol. hum.           ;Dr. biol. hum.           ;Dr. biol. hum.                                                                                                                                                                                                                                                 ;Dr. biol. hum.                                                                                                                                                                                                                                                 ;;;;;"0";0;276;;
;"1013";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. biol. hum.     ;Prof. Dr. biol. hum.     ;Prof. Dr. biol. hum.                                                                                                                                                                                                                                           ;Prof. Dr. biol. hum.                                                                                                                                                                                                                                           ;;;Prof. Dr. biol. hum.     ;Prof. Dr. biol. hum.     ;"0";0;277;;
;"0371";;;;Dipl.-Sozarb./Sozpäd.(FH);Dipl.-Sozarb./Sozpäd.(FH);Diplom-Sozialarbeiter/Sozialpädagoge (FH)                                                                                                                                                                                                                      ;Diplom-Sozialarbeiterin/Sozialpädagogin (FH)                                                                                                                                                                                                                   ;;;;;"0";0;278;;
;"0071";;Dr. math. ;Dr. math. ;Dr. math.                ;Dr. math.                ;Dr. math.                                                                                                                                                                                                                                                      ;Dr. math.                                                                                                                                                                                                                                                      ;;;;;"0";0;279;;
;"1731";;Dr.       ;Dr.       ; Dr. disc. pol.          ; Dr. disc. pol.          ; Dr. disc. pol.                                                                                                                                                                                                                                                ; Dr. disc. pol.                                                                                                                                                                                                                                                ;;;;;"0";0;280;;
;"239 ";;Dipl.r.com;Dipl.r.com;Dipl. rer. com           ;Dipl. rer. com           ;Diplom-Kommunikationswissenschaftler                                                                                                                                                                                                                           ;Diplom-Kommunikationswissenschaftler                                                                                                                                                                                                                           ;;;;;"0";0;281;;
;"240 ";;Dipl.-Staa;Dipl.-Staa;Dipl.-Staatsw.           ;Dipl.-Staatsw.           ;Diplom Staatswissenschaftler Univ.                                                                                                                                                                                                                             ;Diplom Staatswissenschaftlerin Univ.                                                                                                                                                                                                                           ;;;;;"0";0;282;;
;"0714";;Dr.-Ing. b;Dr.-Ing. b;Dr.-Ing. bacc. math.     ;Dr.-Ing. bacc. math.     ;Dr.-Ing. bacc. math.                                                                                                                                                                                                                                           ;Dr.-Ing. bacc. math.                                                                                                                                                                                                                                           ;;;;;"0";0;283;;
;"2133";;Dr. sc.   ;;Dr. sc. math.            ;Dr. sc. math.            ;Dr. der Mathematik                                                                                                                                                                                                                                             ;Dr. der Mathematik                                                                                                                                                                                                                                             ;;;;;"0";0;284;;
;"0261";;Dipl.-Ing.;Dipl.-Ing.;Dipl.-Ing. Ing.          ;Dipl.-Ing. Ing.          ;Dipl.-Ing. Ing.                                                                                                                                                                                                                                                ;Dipl.-Ing. Ing.                                                                                                                                                                                                                                                ;;;;;"0";0;285;;
;"1161";;Dipl.-Wirt;Dipl.-Wirt;Dipl.-Wirt.-Ing.         ;Dipl.-Wirt.-Ing.         ;Dipl.-Wirt.-Ing.                                                                                                                                                                                                                                               ;Dipl.-Wirt.-Ing.                                                                                                                                                                                                                                               ;;;;;"0";0;286;;
;"1261";;ProfDrPhD ;ProfDrPhD ;Prof. Dr. Ph.D.          ;Prof. Dr. Ph.D.          ;Professor Dr. Ph.D.                                                                                                                                                                                                                                            ;Professorin Dr. Ph.D.                                                                                                                                                                                                                                          ;;;;;"0";0;287;;
;"0072";;Ass. jur. ;Ass. jur. ;Ass. jur.                ;Ass. jur.                ;Ass. jur.                                                                                                                                                                                                                                                      ;Ass. jur.                                                                                                                                                                                                                                                      ;;;;;"0";0;288;;
;"0941";;;;Dipl.-Forstwirt          ;Dipl.-Forstwirtin        ;Diplom-Forstwirt                                                                                                                                                                                                                                               ;Diplom-Forstwirtin                                                                                                                                                                                                                                             ;;;;;"0";0;289;;
;"0751";;Dipl.-Geog;Dipl.-Geog;Dipl.-Geogr.             ;Dipl.-Geogr.             ;Dipl.-Geograph                                                                                                                                                                                                                                                 ;Dipl.-Geographin                                                                                                                                                                                                                                               ;;;;;"0";0;290;;
;"214 ";;MIB       ;MIB       ;MIB                      ;MIB                      ;Master International Business                                                                                                                                                                                                                                  ;Master International Business                                                                                                                                                                                                                                  ;;;;;"0";0;291;;
;"0081";;;;Dipl.-L.-Öko.            ;Dipl.-L.-Öko.            ;Diplom-Landschaftsökologe                                                                                                                                                                                                                                      ;Diplom-Landschaftsökologin                                                                                                                                                                                                                                     ;;;;;"0";0;292;;
;"0061";;;Dr. agr.  ;Dr. sc. agr.             ;Dr. sc. agr.             ;Dr. sc. agr.                                                                                                                                                                                                                                                   ;Dr. sc. agr.                                                                                                                                                                                                                                                   ;;;;;"0";0;293;;
;"0121";;Arch      ;Arch      ;Architekt                ;Architektin              ;Architekt                                                                                                                                                                                                                                                      ;Architektin                                                                                                                                                                                                                                                    ;;;;;"0";0;294;;
;"241 ";;;;Dipl.-OStR.              ;Dipl.-OStR.              ;Diplom-Oberstudienrat                                                                                                                                                                                                                                          ;Diplom-Oberstudienrätin                                                                                                                                                                                                                                        ;;;;;"0";0;295;;
;"1715";;PD Dr.-Ing;PD Dr.-Ing;PD Dr.-Ing.              ;PD Dr.-Ing.              ;PD Dr.-Ing                                                                                                                                                                                                                                                     ;PD Dr.-Ing.                                                                                                                                                                                                                                                    ;;;;;"0";0;296;;
;"0602";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. med. habil.    ;Prof. Dr. med. habil.    ;Professor Dr. med. habil.                                                                                                                                                                                                                                      ;Professorin Dr. med. habil.                                                                                                                                                                                                                                    ;;;;;"0";0;297;;
;"0603";;;;Priv. Doz. Dr. med. vet. ;Priv. Doz. Dr. med. vet. ;Priv. Doz. Dr. med. vet.                                                                                                                                                                                                                                       ;Priv. Doz. Dr. med. vet.                                                                                                                                                                                                                                       ;;;;;"0";0;298;;
;"0604";;Prof. Dr. ;Prof. Dr. ;Prof. Dr. rer. medic.    ;Prof. Dr.rer. medic.     ;Professor Dr. rer. medic .                                                                                                                                                                                                                                     ;Professorin Dr. rer. medic.                                                                                                                                                                                                                                    ;;;;;"0";0;299;;
;"0801";;Dipl. FW  ;Dipl. FW  ;Dipl.-Frank.-Wiss.       ;Dipl.-Frank.-Wiss.       ;Diplom Frankreichwissenschaftler                                                                                                                                                                                                                               ;Diplom Frankreichwissenschaftlerin                                                                                                                                                                                                                             ;;;;;"0";1;300;;
;"0114";;;;Dr. Sportwiss.           ;Dr. Sportwiss.           ;Dr. Sportwissenschaften                                                                                                                                                                                                                                        ;Dr. Sportwissenschaften                                                                                                                                                                                                                                        ;;;;;"0";0;301;;
;"1381";;Patentanwa;Patentanwä;Patentanwalt Dr.-Ing.    ;Patentanwältin Dr.-Ing.  ;Patentanwalt Dr.-Ing.                                                                                                                                                                                                                                          ;Patentanwältin Dr.-Ing.                                                                                                                                                                                                                                        ;;;;;"0";0;302;;
;"0631";;Betr-W IHK;Betr-W IHK;Betriebsw. IHK           ;Betriebsw. IHK           ;Betriebswirt IHK                                                                                                                                                                                                                                               ;Betriebswirtin IHK                                                                                                                                                                                                                                             ;;;;;"0";0;303;;
;"1212";;Verwaltung;Verwaltung;Verwaltungsfachwirt      ;Verwaltungsfachwirtin    ;Verwaltungsfachwirt                                                                                                                                                                                                                                            ;Verwaltungsfachwirtin                                                                                                                                                                                                                                          ;;;;;"0";0;304;;
;"242 ";;B.Sc.     ;B.Sc.     ;B.Sc.                    ;B.Sc.                    ;;;2000-01-01;;;;"0";0;305;;
;"0032";;Dipl.     ;Dipl.     ;Dipl.-Reg.-Wiss.         ;Dipl.-Reg.-Wiss.         ;Dipl.-Reg.-Wiss.                                                                                                                                                                                                                                               ;Dipl.-Reg.-Wiss.                                                                                                                                                                                                                                               ;;;;;"0";0;306;;
;"0102";;PD Dr.med.;PD Dr.med.;PD Dr. med.              ;PD Dr. med.              ;PD Dr. med.                                                                                                                                                                                                                                                    ;PD Dr. med.                                                                                                                                                                                                                                                    ;;;;;"0";0;307;;
;"215 ";;Prof. Spor;Prof. Spor;Prof. Dr. der Sportwiss  ;Prof. Dr. der Sportwiss  ;Professor Dr. der Sportwissenschaften                                                                                                                                                                                                                          ;Professorin Dr. der Sportwissenschaften                                                                                                                                                                                                                        ;2020-04-05;;;;"0";1;308;;
;"0014";;Dr.       ;Dr.       ;Dr. rer. med.            ;Dr. rer. med.            ;Dr. rer. med.                                                                                                                                                                                                                                                  ;Dr. rer. med.                                                                                                                                                                                                                                                  ;;;Dr. rer. med.            ;Dr. rer. med.            ;"0";0;309;;
;"201a";;Prof. Dipl;Prof. Dipl;Prof. Diplom Musiker     ;Prof. Diplom Musikerin   ;Professor Diplom-Musiker                                                                                                                                                                                                                                       ;Professorin Diplom-Musikerin                                                                                                                                                                                                                                   ;2020-08-17;;;;"0";0;310;;
;"243 ";;Prof.Dr.ha;Prof.Dr.ha;Prof. Dr. habil.         ;Prof. Dr. habil.         ;Professor Dr. habil.                                                                                                                                                                                                                                           ;Professorin Dr. habil                                                                                                                                                                                                                                          ;;;Professor Dr.            ;Professorin Dr.          ;"0beb21c0-702c-11eb-963e-0050568c659e";0;311;;
;"0413";;Magister  ;Magister  ;Mag. jur.                ;Mag.jur.                 ;Mag. jur.                                                                                                                                                                                                                                                      ;Mag. jur.                                                                                                                                                                                                                                                      ;;;;;b66197d6-a9d8-11ec-976b-0050568c65f9;2;312;;
;"0302";;Dipl.-    ;Dipl.-    ;Dipl.-.Staatsing.        ;Dipl.-Staatsingenieurs   ;Dipl. Staatsingenieurs                                                                                                                                                                                                                                         ;Dipl.-Staatsingenieurs                                                                                                                                                                                                                                         ;;;;;"0b3dd752-0998-11ed-bdd7-0050568c656f";1;313;;
;"2144";;MPA       ;MPA       ;MPA                      ;MPA                      ;Master of Public Administration                                                                                                                                                                                                                                ;Master of Public Administration                                                                                                                                                                                                                                ;;;;;"86cf5f5c-b2ea-11ef-90a4-0050568c656f";0;314;;
