,01737,0,ZS,A,,Pohrsdorf,PIR,14628,
,01737,0,ZS,A,,Oberhermsdorf,PIR,14628,
,01737,0,ZS,A,,Tharandt,PIR,14628,
,01737,0,ZS,A,,Braunsdorf,PIR,14628,
,01737,0,ZS,A,,Kleinopitz,PIR,14628,
,01737,0,ZS,A,,Kurort Hartha,PIR,14628,
,01738,0,ZS,A,,Dorfhain,PIR,14628,
,01741,0,,A,,Dippoldiswalde,PIR,14628,
,01744,0,ZS,A,,Dippoldiswalde,PIR,14628,
db_einfuegemarke,plz,ueberkey,art,aikz,grokz,ort,krskfz,krs_astat,vv_bez
,01762,0,ZS,A,,Hartmannsdorf-Reichenau,PIR,14628,
,01766,0,,A,,GlashÃ¼tte,PIR,14628,
,01768,0,ZS,A,,GlashÃ¼tte,PIR,14628,
,01773,0,ZS,A,,Altenberg,PIR,14628,
,01774,0,ZS,A,,Klingenberg,PIR,14628,
,01776,0,ZS,A,,Hermsdorf/Erzgeb.,PIR,14628,
,01778,0,ZS,A,,FÃ¼rstenau,PIR,14628,
,01778,0,ZS,A,,FÃ¼rstenwalde,PIR,14628,
,01778,0,ZS,A,,Geising,PIR,14628,
,01778,0,ZS,A,,Lauenstein,PIR,14628,
db_einfuegemarke,plz,ueberkey,art,aikz,grokz,ort,krskfz,krs_astat,vv_bez
,01778,0,ZS,A,,Liebenau,PIR,14628,
,01778,0,ZS,A,,MÃ¼glitz,PIR,14628,
,01781,0,,A,,Pirna,PIR,14628,
,01782,0,,A,,Pirna,PIR,14628,
,01783,0,,A,,Pirna,PIR,14628,
,01788,0,,A,,Pirna,PIR,14628,
,01793,0,,A,,Pirna,PIR,14628,
,01796,0,ZS,A,,Pirna,PIR,14628,
,01796,0,ZS,A,,Struppen,PIR,14628,
,01796,0,ZS,A,,Dohma,PIR,14628,
db_einfuegemarke,plz,ueberkey,art,aikz,grokz,ort,krskfz,krs_astat,vv_bez
,01801,0,,A,,Heidenau,PIR,14628,
,01809,0,ZS,A,,Dohna,PIR,14628,
,01809,0,ZS,A,,Heidenau,PIR,14628,
,01809,0,ZS,A,,MÃ¼glitztal,PIR,14628,
,01814,0,ZS,A,,Bad Schandau,PIR,14628,
,01814,0,ZS,A,,Rathmannsdorf,PIR,14628,
,01814,0,ZS,A,,KleingieÃhÃ¼bel,PIR,14628,
,01814,0,ZS,A,,SchÃ¶na,PIR,14628,
,01814,0,ZS,A,,Reinhardtsdorf,PIR,14628,
,01816,0,ZS,A,,Bad Gottleuba-BerggieÃhÃ¼bel,PIR,14628,
db_einfuegemarke,plz,ueberkey,art,aikz,grokz,ort,krskfz,krs_astat,vv_bez
,01819,0,ZS,A,,Bahretal,PIR,14628,
,01824,0,ZS,A,,Kurort Rathen,PIR,14628,
,01824,0,ZS,A,,Rosenthal-Bielatal,PIR,14628,
,01824,0,ZS,A,,Gohrisch,PIR,14628,
,01824,0,ZS,A,,KÃ¶nigstein/SÃ¤chs. Schw.,PIR,14628,
,01825,0,ZS,A,,Liebstadt,PIR,14628,
,01829,0,ZS,A,,Stadt Wehlen,PIR,14628,
,01833,0,ZS,A,,Stolpen,PIR,14628,
,01833,0,ZS,A,,DÃ¼rrrÃ¶hrsdorf-Dittersbach,PIR,14628,
,01844,0,ZS,A,,Neustadt in Sachsen,PIR,14628,
db_einfuegemarke,plz,ueberkey,art,aikz,grokz,ort,krskfz,krs_astat,vv_bez
,01847,0,ZS,A,,Lohmen,PIR,14628,
