"db_einfuegemarke","key_hochschule","ueberkey","kurz_hochschule","druck_hochschule","text_hochschule","bund_hochschule","key_von","key_bis","habil_recht","land_hochschule","art","betriebsnummer","haupt_neben_kz","plz","ort"
,"0730  ",,,SRH Gesundheit Gera      ,SRH University of Applied Sciences Heidelberg in Gera (Priv. FH)                                                                                                                                                                                               ,"0730",,,,,,,,,
,"0740  ",,,"Rechtspflege, Hildesheim ","Norddeutsche Hochschule für Rechtspflege, Hildesheim                                                                                                                                                                                                           ","0740",,,,,,,,,
,"0750  ",,,Hannover (Priv. Verw-FH) ,"Kommunale H für Verwaltung in Niedersachsen, Hannover (Priv. Verw-FH)                                                                                                                                                                                          ","0750",,,,,,,,,
,"0760  ",,,IB-HS Berlin (Priv. FH)  ,IB Hochschule für Gesundheit und Soziales Berlin in Berlin (Priv. FH)                                                                                                                                                                                          ,"0760",,,,,,,,,
,"0761  ",,,"IB-HS Berlin, Stuttgart  ",IB Hochschule für Gesundheit und Soziales Berlin in Stuttgart (Priv. FH)                                                                                                                                                                                       ,"0761",,,,,,,,,
,"0762  ",,IBHS B M  ,IBHS Berlin in München   ,IB Hochschule für Gesundheit und Soziales Berlin in München (Priv. FH)                                                                                                                                                                                         ,"0762",,,N,,,,,,
,"0763  ",,,"IB-HS Berlin, Hamburg    ",IB Hochschule für Gesundheit und Soziales Berlin in Hamburg (Priv. FH)                                                                                                                                                                                         ,"0763",,,,,,,,,
,"0764  ",,,"IB-HS Berlin, Köln       ",IB Hochschule für Gesundheit und Soziales Berlin in Köln (Priv. FH)                                                                                                                                                                                            ,"0764",,,,,,,,,
,"0790  ",,,Akkon H Berlin (Priv. FH),Akkon H Berlin (Priv. FH)                                                                                                                                                                                                                                      ,"0790",,,,,,,,,
,"0800  ",,HSdBW Hamb,HS d.Bundeswehr Hamburg  ,HS d.Bundeswehr Hamburg                                                                                                                                                                                                                                        ,"0800",,,J,,,,,,
,"0810  ",,UniBW Münc,Uni d.Bundeswehr München ,Uni d.Bundeswehr München                                                                                                                                                                                                                                       ,"0811",,"2015-12-31",J,,,,,,
,"0811  ",,,Bundeswehr München (Uni) ,U der Bundeswehr München (FB Universitätsstudiengänge)                                                                                                                                                                                                         ,"0811",,,,,,,,,
,"0812  ",,,Bundeswehr München       ,U der Bundeswehr München (FB Fachhochschulstudiengänge)                                                                                                                                                                                                        ,"0812",,,,,,,,,
,"0821  ",,,Sport Kunst Berlin       ,"H für Gesundheit & Sport, Technik & Kunst Berlin in Berlin (Priv. FH)                                                                                                                                                                                          ","0821",,,,,,,,,
,"0822  ",,,Sport Kunst Ismaning     ,"H für Gesundheit & Sport, Technik & Kunst Berlin in Ismaning (Priv. FH)                                                                                                                                                                                        ","0822",,,,,,,,,
,"0823  ",,,Sport Kunst Unna         ,"H für Gesundheit & Sport, Technik & Kunst Berlin in Unna (Priv. FH)                                                                                                                                                                                            ","0823",,,,,,,,,
,"0830  ",,,Design Akademie Berlin   ,"Design Akademie Berlin, SRH H für Kommunikation und Design (Priv. FH)                                                                                                                                                                                          ","7971",,"2019-12-31",,,,,,,
,"0860  ",,,Gesundmanag. Saarbrücken ,Deutsche H für Prävention und Gesundheitsmanagement Saarbrücken(Priv. FH)                                                                                                                                                                                      ,"0860",,,,,,,,,
,"0880  ",,,"EBC Hamburg, Hamburg     ",EBC Euro Business College Hamburg Campus Hamburg Priv. FH                                                                                                                                                                                                      ,"0880",,"2023-12-31",,,,,,,
,"0910  ",,,"Deut. HS Polizei, Münster","Deutsche Hochschule der Polizei, Münster (U)                                                                                                                                                                                                                   ","0910",,,,,,,,,
,"0930  ",,,"Business School, Bochum  ","EBZ Business School, Bochum (Priv. FH)                                                                                                                                                                                                                         ","0930",,,,,,,,,
,"0940  ",,,Theologische HS Gießen   ,Freie Theologische H (FTH) Gießen (Priv. H)                                                                                                                                                                                                                    ,"0940",,,,,,,,,
,"0950  ",,,Uni-Klinik Schles.-Holst.,Universitätsklinikum Schleswig-Holstein                                                                                                                                                                                                                        ,"0950",,,,,,,,,
,"0960  ",,,U Vechta                 ,U Vechta                                                                                                                                                                                                                                                       ,"0960",,,,,,,,,
,"0980  ",,Uni Hildes,Universität Hildesheim   ,Universität Hildesheim                                                                                                                                                                                                                                         ,"0980",,,J,,,,,,
,"0990  ",,Uni Lünebg,Universität Lüneburg     ,Universität Lüneburg                                                                                                                                                                                                                                           ,"0990",,,J,,,,,,
,"0999  ",,Sonstige  ,Sonstige bzw. ohne Angabe,Sonstige bzw. ohne Angabe                                                                                                                                                                                                                                      ,"0999",,,J,,,,,,
,"1000  ",,,U Kiel                   ,U Kiel                                                                                                                                                                                                                                                         ,"1000",,,,,,,,,
,"1001  ",,Uni Kiel  ,Universität Kiel         ,Universität Kiel                                                                                                                                                                                                                                               ,"1000",,"2015-12-31",J,,,,,,
,"1010  ",,,U Lübeck                 ,U Lübeck                                                                                                                                                                                                                                                       ,"1010",,,,,,,,,
,"1011  ",,Med.Uni Lü,Med. Universität Lübeck  ,Med. Universität Lübeck                                                                                                                                                                                                                                        ,"1010",,"2015-12-31",J,,,,,,
,"1021  ",,Uni Hambg ,Universität Hamburg      ,Universität Hamburg                                                                                                                                                                                                                                            ,"1021",,,J,,,,,,
,"1022  ",,,Uni.sbibliothek Hamburg  ,Staats- und Universitätsbibliothek Hamburg                                                                                                                                                                                                                     ,"1022",,,,,,,,,
,"1029  ",,,U Hamburg (Klinik)       ,U Hamburg (Klinikum)                                                                                                                                                                                                                                           ,"1029",,,,,,,,,
,"1031  ",,Uni Gött  ,Universität Göttingen    ,Universität Göttingen                                                                                                                                                                                                                                          ,"1031",,,J,,,,,,
,"1039  ",,,U Göttingen (Klinik)     ,U Göttingen (Klinikum)                                                                                                                                                                                                                                         ,"1039",,,,,,,,,
,"1040  ",,TU HH-Harb,TU Hamburg-Harburg       ,TU Hamburg                                                                                                                                                                                                                                                     ,"1040",,,J,,,,,,
